t,T
0.0, 0.042631444666666664
0.01, 0.04486773060794314
0.02, 0.07316517699999998
0.03, 0.08876884055872349
0.04, 0.10301579566666667
0.05, 0.11844847707382951
0.06, 0.14364570933333332
0.07, 0.14762018614595845
0.08, 0.17413040400000002
0.09, 0.20509252542567
0.1, 0.24524501233333332
0.11, 0.27999074248469485
0.12, 0.31504243000000004
0.13, 0.3608120575522172
0.14, 0.45663450533333333
0.15, 0.6026201675564363
0.16, 0.8204014989999999
0.17, 1.111834095847037
0.18, 1.4669147193333334
0.19, 1.9235038273054164
0.2, 2.4761198679999996
0.21, 3.1272490690562975
0.22, 3.8093873360000003
0.23, 4.554696414302728
0.24, 5.325661048
0.25, 6.161166087649465
0.26, 7.041665692
0.27, 7.929275174891084
0.28, 8.830154237666667
0.29, 9.710567931077863
0.3, 10.597568092000001
0.31, 11.438018209380791
0.32, 12.102232280333334
0.33, 12.465565778315641
0.34, 12.203975983666666
0.35000000000000003, 10.882235618273318
0.36, 9.072711893333334
0.37, 7.497629110799416
0.38, 6.264336626666666
0.39, 5.421210038945684
0.4, 4.830008920333333
0.41000000000000003, 4.400473414209515
0.42, 4.082285283666667
0.43, 3.833533675007923
0.44, 3.638333528
0.45, 3.4805475439254607
0.46, 3.3651934553333334
0.47000000000000003, 3.2757632687902345
0.48, 3.2134040583333334
0.49, 3.1706169085802673
0.5, 3.1130269343333334
0.51, 3.0959075823053634
0.52, 3.0825422396666666
0.53, 3.0342951291566127
0.54, 2.961335613333333
0.55, 2.872523818276519
0.56, 2.7385296836666666
0.5700000000000001, 2.534008882903978
0.58, 2.254778243
0.59, 1.9891369096492328
0.6, 1.69922908
0.61, 1.446975636999089
0.62, 1.2152845519999997
0.63, 1.007722518771078
0.64, 0.841130214
0.65, 0.6995848424165986
0.66, 0.6086200549999999
0.67, 0.5235019528541943
0.68, 0.4669268386666667
0.6900000000000001, 0.4095443444999573
0.7000000000000001, 0.37610683066666667
0.71, 0.34144294147931004
0.72, 0.30494318400000003
0.73, 0.26791357624946954
0.74, 0.24456189800000003
0.75, 0.22782134610614513
0.76, 0.21407720333333335
0.77, 0.19918726490928332
0.78, 0.1937377273333333
0.79, 0.1690728058817215
